tilarán,porcentaje,91.6,97.9,99.2,25.9,37.8,61.1,84.1
tilarán,recuento,5514,5889,5971,1561,2273,3678,5061
nandayure,porcentaje,80.8,90.7,98.5,14.1,26.3,43.6,78.6
nandayure,recuento,2673,3000,3258,465,871,1441,2598
la cruz,porcentaje,84.6,74.2,91.9,9.5,16.7,32.2,73.4
la cruz,recuento,4004,3509,4350,448,789,1523,3474
hojancha,porcentaje,78.4,91.8,98.4,15.0,31.0,45.9,76.5
hojancha,recuento,1590,1862,1995,305,628,930,1551
puntarenas,porcentaje,93.6,94.1,99.0,19.6,31.0,55.7,80.5
puntarenas,recuento,31089,31255,32888,6525,10302,18500,26751
esparza,porcentaje,94.4,97.2,99.4,27.3,39.0,56.0,87.0
esparza,recuento,7962,8196,8385,2300,3286,4725,7338
buenos aires,porcentaje,72.6,82.4,90.1,11.2,21.7,25.7,75.9
buenos aires,recuento,8856,10058,10997,1370,2653,3133,9266
montes de oro,porcentaje,94.6,98.3,99.2,23.3,36.0,60.7,84.3
montes de oro,recuento,3715,3863,3899,914,1415,2384,3312
osa,porcentaje,78.8,92.6,94.9,17.0,26.5,39.0,80.9
osa,recuento,7019,8242,8449,1518,2356,3473,7199
aguirre,porcentaje,88.9,97.1,98.9,22.8,35.1,43.9,86.2
aguirre,recuento,7194,7863,8002,1846,2840,3554,6979
golfito,porcentaje,77.3,91.8,95.5,19.1,27.6,42.7,78.7
golfito,recuento,8952,10622,11058,2213,3190,4945,9107
coto brus,porcentaje,88.0,89.5,97.1,16.3,28.3,39.2,80.9
coto brus,recuento,9627,9793,10620,1780,3093,4291,8849
parrita,porcentaje,84.7,96.2,98.5,16.2,27.2,44.0,83.7
parrita,recuento,4093,4647,4761,782,1314,2128,4045
corredores,porcentaje,78.0,91.3,97.1,18.7,29.3,47.0,80.1
corredores,recuento,9248,10823,11506,2214,3474,5573,9494
garabito,porcentaje,92.6,97.8,98.8,26.6,35.5,38.6,90.7
garabito,recuento,4920,5194,5247,1413,1885,2049,4821
limón,porcentaje,85.8,89.9,95.5,23.2,32.6,47.0,82.1
limón,recuento,22878,23975,25454,6195,8706,12520,21883
pococí,porcentaje,75.5,94.9,98.5,16.8,28.7,43.6,82.0
pococí,recuento,27366,34392,35711,6071,10408,15807,29716
siquirres,porcentaje,82.2,93.9,98.7,14.5,23.9,40.6,82.1
siquirres,recuento,13323,15211,15994,2351,3878,6585,13305
talamanca,porcentaje,55.7,71.7,83.7,12.1,20.0,25.7,60.1
talamanca,recuento,4453,5732,6699,965,1603,2054,4808
matina,porcentaje,73.1,87.8,96.8,8.4,16.2,31.1,77.5
matina,recuento,7613,9136,10078,877,1691,3242,8070
guácimo,porcentaje,83.6,96.2,99.1,11.5,22.0,39.3,82.0
guácimo,recuento,9859,11347,11687,1360,2595,4638,9673
